,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
60,600519.SH,20210617,2155.65,2188.0,2144.36,2156.91,2158.0,-1.09,-0.0505,21067.53,4558702.643
61,600519.SH,20210616,2192.0,2195.0,2148.0,2158.0,2193.0,-35.0,-1.596,27593.15,5978924.528
62,600519.SH,20210615,2195.1,2208.88,2148.0,2193.0,2178.81,14.19,0.6513,29361.3,6412821.567
63,600519.SH,20210611,2239.0,2244.0,2178.81,2178.81,2238.48,-59.67,-2.6656,33970.66,7513797.036
64,600519.SH,20210610,2195.0,2251.37,2190.08,2238.48,2199.5,38.98,1.7722,25566.63,5707338.424
65,600519.SH,20210609,2192.0,2214.0,2160.11,2199.5,2191.0,8.5,0.388,25502.35,5591378.817
66,600519.SH,20210608,2260.0,2279.99,2161.15,2191.0,2271.0,-80.0,-3.5227,47313.63,10479943.156
67,600519.SH,20210607,2265.0,2279.0,2240.01,2271.0,2251.5,19.5,0.8661,25466.27,5756592.694
68,600519.SH,20210604,2215.0,2288.0,2214.04,2251.5,2222.22,29.28,1.3176,31422.19,7058715.115
69,600519.SH,20210603,2220.0,2260.34,2210.08,2222.22,2222.0,0.22,0.0099,23450.31,5242453.019
70,600519.SH,20210602,2250.0,2264.0,2208.18,2222.0,2240.95,-18.95,-0.8456,22862.77,5088908.384
71,600519.SH,20210601,2222.0,2248.95,2206.0,2240.95,2218.0,22.95,1.0347,30616.34,6832594.466
72,600519.SH,20210531,2215.5,2218.35,2172.0,2218.0,2230.0,-12.0,-0.5381,31739.0,6960864.26
73,600519.SH,20210528,2240.97,2250.0,2205.51,2230.0,2245.0,-15.0,-0.6682,25807.31,5741331.986
74,600519.SH,20210527,2211.02,2320.0,2201.1,2245.0,2220.0,25.0,1.1261,45373.38,10240368.98
75,600519.SH,20210526,2207.98,2241.8,2193.08,2220.0,2194.5,25.5,1.162,38604.2,8558038.174
76,600519.SH,20210525,2085.0,2200.1,2085.0,2194.5,2071.29,123.21,5.9485,67756.95,14636718.75
77,600519.SH,20210524,2051.0,2080.06,2031.0,2071.29,2042.1,29.19,1.4294,32548.08,6705879.397
78,600519.SH,20210521,2055.08,2079.88,2037.02,2042.1,2058.88,-16.78,-0.815,24248.23,4976601.458
79,600519.SH,20210520,2074.0,2074.1,2045.36,2058.88,2049.0,9.88,0.4822,21857.16,4500663.211
80,600519.SH,20210519,2059.0,2074.81,2040.0,2049.0,2059.31,-10.31,-0.5007,22409.72,4606452.358
81,600519.SH,20210518,2065.0,2077.0,2045.06,2059.31,2057.96,1.35,0.0656,17504.28,3595891.742
82,600519.SH,20210517,2025.1,2085.2,2025.1,2057.96,2009.85,48.11,2.3937,44524.0,9178509.985
83,600519.SH,20210514,1982.0,2030.5,1976.0,2009.85,1971.5,38.35,1.9452,35611.29,7150302.044
84,600519.SH,20210513,1965.75,1985.05,1953.0,1971.5,1984.0,-12.5,-0.63,25077.51,4934954.969
85,600519.SH,20210512,1949.08,1999.0,1949.0,1984.0,1959.0,25.0,1.2762,32698.87,6473203.286
86,600519.SH,20210511,1876.0,1966.0,1873.3,1959.0,1879.03,79.97,4.2559,42494.12,8209251.914
87,600519.SH,20210510,1900.0,1909.0,1866.01,1879.03,1903.0,-23.97,-1.2596,46003.18,8677753.608
88,600519.SH,20210507,1965.0,1967.98,1901.0,1903.0,1959.0,-56.0,-2.8586,52493.39,10101703.446
89,600519.SH,20210506,2000.0,2006.84,1953.0,1959.0,2006.78,-47.78,-2.3809,53546.14,10584968.907
90,600519.SH,20210430,2026.0,2036.0,2003.71,2006.78,2026.36,-19.58,-0.9663,38401.37,7723747.038
91,600519.SH,20210429,2047.04,2049.94,2014.0,2026.36,2042.0,-15.64,-0.7659,41283.78,8370431.228
92,600519.SH,20210428,2010.0,2047.5,2003.0,2042.0,2094.44,-52.44,-2.5038,81342.95,16463574.637
93,600519.SH,20210427,2087.08,2095.25,2065.09,2094.44,2077.82,16.62,0.7999,22107.85,4607779.002
94,600519.SH,20210426,2132.0,2135.0,2073.6,2077.82,2108.94,-31.12,-1.4756,34045.11,7160836.874
95,600519.SH,20210423,2055.97,2119.88,2052.5,2108.94,2055.5,53.44,2.5999,33462.77,7002695.288
96,600519.SH,20210422,2089.9,2099.0,2051.5,2055.5,2080.0,-24.5,-1.1779,26850.02,5539295.656
97,600519.SH,20210421,2076.0,2097.8,2065.1,2080.0,2094.8,-14.8,-0.7065,26149.75,5446145.952
98,600519.SH,20210420,2071.1,2129.0,2070.0,2094.8,2088.0,6.8,0.3257,28290.37,5949669.953
99,600519.SH,20210419,2055.0,2098.36,2033.0,2088.0,2054.98,33.02,1.6068,31753.91,6610577.917
100,600519.SH,20210416,2025.08,2068.0,2012.0,2054.98,2015.6,39.38,1.9538,30293.7,6183895.054
101,600519.SH,20210415,2030.9,2046.9,1990.0,2015.6,2047.0,-31.4,-1.534,34366.21,6903769.49
102,600519.SH,20210414,2035.0,2048.0,2016.0,2047.0,2021.0,26.0,1.2865,24114.65,4908790.023
103,600519.SH,20210413,2020.0,2049.8,2009.0,2021.0,2008.89,12.11,0.6028,28992.15,5883787.293
104,600519.SH,20210412,2011.0,2030.0,1991.7,2008.89,2020.0,-11.11,-0.55,31943.07,6409917.318
105,600519.SH,20210409,2042.0,2054.0,2005.01,2020.0,2070.0,-50.0,-2.4155,28808.86,5832453.812
106,600519.SH,20210408,2047.03,2079.0,2044.0,2070.0,2061.0,9.0,0.4367,28547.62,5893307.514
107,600519.SH,20210407,2104.06,2117.3,2050.0,2061.0,2126.03,-65.03,-3.0588,40200.97,8317799.925
108,600519.SH,20210406,2161.0,2161.98,2102.3,2126.03,2162.0,-35.97,-1.6637,32741.77,6967525.037
109,600519.SH,20210402,2056.0,2165.0,2056.0,2162.0,2044.5,117.5,5.7471,52027.57,10981752.658
110,600519.SH,20210401,2021.0,2046.8,2001.22,2044.5,2009.0,35.5,1.767,26587.63,5379775.87
111,600519.SH,20210331,2045.1,2046.02,2000.0,2009.0,2056.05,-47.05,-2.2884,37154.41,7489086.233
112,600519.SH,20210330,2040.0,2086.0,2035.08,2056.05,2034.1,21.95,1.0791,32626.97,6717493.35
113,600519.SH,20210329,2043.2,2096.35,2026.15,2034.1,2013.0,21.1,1.0482,56992.2,11740129.413
114,600519.SH,20210326,1985.0,2022.0,1958.0,2013.0,1971.0,42.0,2.1309,50016.42,9987629.444
